,title,author,count,asin_list,narrator_count,narrator_list
1402,The Red Necklace,Sally Gardner,3,"['B002V5BJDE', 'B0032BHSH2', 'B0032NAC8M']",3,"['Tom Hiddleston', 'Janet Suzman', 'Carrington MacDuffie']"
1403,And Then There Were None,Agatha Christie,3,"['B00ENI4SS0', 'B00JJY5EJA', 'B0036GRNIM']",2,"['Dan Stevens', 'Hugh Fraser']"
1404,The Mauritius Command,Patrick O'Brian,3,"['B002V5B25E', 'B00881C4DE', 'B002UZI4JM']",3,"['Ric Jerrom', 'Patrick Tull', 'Tim Pigott-Smith']"
1408,I Found You,Lisa Jewell,3,"['B06ZXWKQCQ', '1974928535', 'B06XH266CN']",2,"['Antonia Beamish', 'Helen Duff']"
1409,What Katy Did,Susan Coolidge,3,"['B00BAWS5SQ', 'B002V0PYQW', 'B00WAHIJYU']",3,"['Eloise Oxer', 'Barbara Caruso', ""Susan O'Malley""]"
1411,Anne of Green Gables,Lucy Maude Montgomery,3,"['B00E825RDQ', 'B014V81SLQ', 'B006YD81BC']",3,"['Mary Sarah', 'Victoria McGee', 'Andrea Giordani']"
1413,The Remains of the Day,Kazuo Ishiguro,3,"['B008BVA62M', 'B008PTR948', 'B07BDR71WS']",2,"['Simon Prebble', 'Dominic West']"
1414,The Bone Garden,Tess Gerritsen,3,"['B002V0KF20', 'B00PUXY7QU', 'B002V8H5AC']",3,"['Carolyn McCormick', 'Lorelei King', 'Susan Denaker']"
1417,The Man of Property,John Galsworthy,3,"['B0182MKPHA', '1606462954', 'B002V02ELA']",3,"['Michael Cochrane', 'Flo Gibson', 'David Case']"
1418,The Man of My Dreams,Curtis Sittenfeld,3,"['B002VA954Y', 'B002V8NADS', '1473584981']",2,"['Anne Heche', 'Susan Denaker']"
1419,Ann Veronica,H. G. Wells,3,"['B0030E6IS6', 'B00DUX2BLA', 'B00T3OB076']",3,"['Liz Pearce', 'Melody Grove', 'Carolyn Seymour']"
1420,The Narrows,Michael Connelly,3,"['B077PF9JP1', 'B00SXHK0NE', 'B0032N8T14']",2,"['David Soul', 'Len Cariou']"
1421,Death of a Charming Man,M. C. Beaton,3,"['B002UZHTT8', 'B00CJIE8O0', '1094151718']",3,"['Davina Porter', 'Shaun Grindell', 'David Monteath']"
1422,Anne of the Island,L. M. Montgomery,3,"['B07KYSFW66', 'B01BFO1MLK', 'B0094I9TO2']",3,"['Flo Gibson', 'Rebecca Thomas', 'Laurie Klein']"
1425,Throne of Jade,Naomi Novik,3,"['B002V0RD70', 'B002V8L6TS', 'B07KX7HHTT']",2,"['Simon Vance', 'David Thorn']"
1426,Tea Time for the Traditionally Built,Alexander McCall Smith,3,"['B0032N5192', 'B002V8HMTQ', 'B002V8MV4W']",2,"['Adjoa Andoh', 'Lisette Lecat']"
1430,The Autograph Man,Zadie Smith,3,"['B07BWQP8SQ', 'B07BB42LG9', 'B0036IHCPY']",2,"['Ben Barnes', 'Henry Goodman']"
1432,Atlas Shrugged,Ayn Rand,3,"['B002UZL9G2', 'B002VA3KG8', 'B002V18AC6']",3,"['Christopher Hurt', 'Edward Herrmann', 'Scott Brick']"
1433,Death of a River Guide,Richard Flanagan,3,"['B074SW3YQM', 'B074SRJJYF', 'B00R6VB5VE']",2,"['P. J. Ochlan', 'Humphrey Bower']"
1435,Point of Origin,Patricia Cornwell,3,"['B00SHZRREC', 'B0099SUC3E', 'B0032N2SRA']",3,"['Karen White', 'Joan Allen', 'Lorelei King']"
1436,Atonement,Ian McEwan,3,"['B002V8HLBU', 'B00P9QWE5Y', 'B002V0TK0I']",3,"['Josephine Bailey', 'Jill Tanner', 'Carole Boyd']"
1440,A Wanted Man,Lee Child,3,"['B0090Q9BM8', 'B0092SZZ56', 'B008Y4YCYO']",2,"['Jeff Harding', 'Dick Hill']"
1441,The Winter King,Bernard Cornwell,3,"['B003D8Q4UQ', 'B00PR3O6JG', 'B00KB9754Y']",2,"['Jonathan Keeble', 'Tim Pigott-Smith']"
1443,Heart and Soul,Maeve Binchy,3,"['B002V08HXO', 'B002V0JTTU', 'B0032N4MJC']",2,"['Kate Binchy', 'Sile Bermingham']"
