,title,author,count,asin_list,narrator_count,narrator_list
4476,Among Schoolchildren,Tracy Kidder,2,"['B0036ZFJIO', 'B0062P0I22']",2,"['Stephen Yankee', 'George Guidall']"
4477,Among Thieves,John Clarkson,2,"['B00SIAJ230', 'B00XRVLQCK']",2,"['John Chancer', 'Peter Berkrot']"
4478,Mayday,"Nelson DeMille, Thomas Block",2,"['B002UZJJ3C', 'B002V0KEBC']",2,"['Scott Brick', 'David Dukes']"
4484,An Act of Villainy,Ashley Weaver,2,"['197491755X', '1528861981']",2,"['Alison Larkin', 'Karen Cass']"
4486,True Detectives,Jonathan Kellerman,2,"['B002UZDY3I', 'B008RM63ZO']",2,"['Jeff Harding', 'John Rubinstein']"
4492,An Act of Love,Nancy Thayer,2,"['1978617534', 'B002V0KF7A']",2,"['Barbara Caruso', 'Cassandra Campbell']"
4494,Angel Fever,L. A. Weatherly,2,"['B00GRIWG4W', 'B00E1LRRCI']",2,"['Laurel Lefkow', 'Cassandra Campbell']"
4495,Angel Fire,L. A. Weatherly,2,"['B0071489GA', 'B006IWB3QO']",2,"['Laurel Lefkow', 'Cassandra Campbell']"
4498,Tom Jones,Henry Fielding,2,"['B00HQ1TR14', 'B008RNICMA']",2,"['Charlton Griffin', 'Robert Lindsay']"
4505,Tom Brown's Schooldays,Thomas Hughes,2,"['B00Z874A8S', 'B0186EFXPI']",2,"['Hugh Bonneville', 'Jamie Parker']"
4506,Magician's End,Raymond E. Feist,2,"['B00CICBUVG', 'B00CQ54HU6']",2,"['John Meagher', 'Peter Joyce']"
4508,Archangel,Robert Harris,2,"['B00PJDT0UO', 'B0032NAFUW']",2,"['Anton Lesser', 'Michael Kitchen']"
4509,Archangel's Prophecy,Nalini Singh,2,"['1541486196', 'B07F883XZF']",2,"['Justin Eyre', 'Justine Eyre']"
4511,Arctic Drift,"Clive Cussler, Dirk Cussler",2,"['B0036IOYKA', 'B005LQCGD2']",2,"['Richard Ferrone', 'Scott Brick']"
4512,Toby Alone,Timothée de Fombelle,2,"['B00449LV0G', 'B00OVCJPTU']",2,"['Stanley McGeagh', 'Peter Berkrot']"
4513,Tobacco Road,Erskine Caldwell,2,"['B006BEVP76', 'B0036GMF8U']",2,"['Mark Hammer', 'John MacDonald']"
4518,Satin Island,Tom McCarthy,2,"['B015QC5006', 'B00TKLUWE4']",2,"['James Langton', 'James Garnon']"
4520,Saturday,Ian McEwan,2,"['B002V0QLSM', 'B00P9TZFLQ']",2,"['James Wilby', 'Steven Crossley']"
4521,Too Late to Say Goodbye,Ann Rule,2,"['B004KAZHWC', 'B002V1LO74']",2,"['Karen Ziemba', 'Barbara Caruso']"
4522,Saturnalia,Lindsey Davis,2,"['B002V1JNU4', 'B002V8DF6U']",2,"['Christian Rodska', 'Christian Rhodska']"
4526,Too Close to Home,Linwood Barclay,2,"['B0032N8H8O', 'B0032NAAHU']",2,"['Christopher Lane', 'Jeff Harding']"
4527,Savage Lane,Jason Starr,2,"['B015YCV5AC', 'B013VRYBIA']",2,"['Adam Sims', 'Mike Chamberlain']"
4529,Major Pettigrew's Last Stand,Helen Simonson,2,"['B0036FLJ9C', 'B0049O4FNQ']",2,"['Peter Altschuler', 'Bill Wallis']"
4533,Applied Economics,Thomas Sowell,2,"['B002VA3NJW', 'B078PNN984']",2,"['Bill Wallace', 'Brian Emerson']"
4535,Tomorrow,Graham Swift,2,"['B002V8MZNO', 'B002V8HC96']",2,"['Lindsay Duncan', 'Kate Reading']"
4540,Are You Afraid of the Dark?,Sidney Sheldon,2,"['B002V5A2F0', 'B002UZKN96']",2,"['Marsha Mason', 'Kit Flanagan']"
4541,To the Power of Three,Laura Lippman,2,"['B01F9NX12Q', 'B002V8NC6S']",2,"['Linda Emond', ""Alexandra O'Karma""]"
4543,Scandal Takes a Holiday,Lindsey Davis,2,"['B06XDHYWTS', 'B00SNMID5G']",2,"['Jamie Glover', 'Simon Prebble']"
4548,Armageddon's Children,Terry Brooks,2,"['B002VA3P4A', 'B0032NAK6G']",2,"['Nick Landrum', 'Dick Hill']"
4549,Scandinavians,Robert Ferguson,2,"['B072WB8V5Q', 'B071W9RKFJ']",2,"['Mark Meadows', 'Michael Page']"
4552,Scaramouche,Rafael Sabatini,2,"['B00507C2JU', 'B07NGN8WBS']",2,"['Jack Shelly', 'Simon Vance']"
4555,Scarlet Nights,Jude Deveraux,2,"['B004YXCZOS', 'B003VBW51W']",2,"['Rick Holmes', 'Julia Gibson']"
4558,To Hell and Back,Ian Kershaw,2,"['B017RTQ6YK', 'B013VRXRGC']",2,"['John Curless', 'Leighton Pugh']"
4561,To Die but Once,Jacqueline Winspear,2,"['B07BH41FSF', 'B077NHZJ3J']",2,"['Julie Teal', 'Orlagh Cassidy']"
4566,To the Last Man,Zane Grey,2,"['B07T8C48KK', 'B002UZDVCW']",2,"['Jim Gough', 'Donald Deane']"
4567,To the Last Man,Jeff Shaara,2,"['B015D0M7UM', 'B002V0QTNO']",2,"['Philip Bosco', 'Paul Michael']"
4570,To the Finish Line,Chrissie Wellington,2,"['B0763TNKBS', 'B079DXWWGJ']",2,"['Imogen Church', 'Polly Lee']"
4572,Say My Name,Allegra Huston,2,"['B071HJBJQD', 'B0777PX4VK']",2,"['Allegra Huston', 'Jill Redfield']"
4574,To a Mountain in Tibet,Colin Thubron,2,"['B004P7ZNI8', 'B005M4ND08']",2,"['Jonathan Keeble', 'Steven Crossley']"
4577,Say Nothing,Patrick Radden Keefe,2,"['1984841130', '0008159289']",2,"['Matthew Blaney\ufeff', 'Matthew Blaney']"
4581,Aristeia,Wayne Basta,2,"['B00C1T0E9A', 'B00D8EKB18']",2,"['Chris Andrew Ciulla', 'Joel Richards']"
4584,Apex Hides the Hurt,Colson Whitehead,2,"['B002V1K0WO', '1405544945']",2,"['Peter J. Fernandez', 'Peter J Fernandez']"
4587,Sailing Alone Around the World,Joshua Slocum,2,"['B009GJB122', 'B002V8MRWI']",2,"['Alan Sklar', 'Bernard Mayes']"
4588,Anger,Gary Chapman,2,"['B002V0QVH8', 'B0889CXST8']",2,"['Shanita Thomas', 'Gary Chapman']"
4590,Saint,Ted Dekker,2,"['B002V8MW5U', '0785239995']",2,"['Henry Kramer', 'Kevin King']"
4598,Saints of the Shadow Bible,Ian Rankin,2,"['B00HMAE2F0', 'B00E7SE7YQ']",2,"['James MacPherson', 'James Macpherson']"
4599,Toxic Heart,Theo Lawrence,2,"['B00JKUE76Y', 'B00LI9HBB8']",2,"['Amy Finegan', 'Celeste Ciulla']"
4600,Manhunt,James L. Swanson,2,"['B01H42HD9W', 'B002V1M7CU']",2,"['Jonathan Davis', 'Richard Thomas']"
4606,Annabel,Kathleen Winter,2,"['B005S4J1IU', 'B005580AFW']",2,"['Tandy Cronyn', 'Laurence Bouvard']"
4610,Angels in My Hair,Lorna Byrne,2,"['B002V5GY6Q', 'B004PC04AK']",2,"['Sile Bermingham', ""Maureen O'Brien""]"
4611,Angel Fire East,Terry Brooks,2,"['B077XPXX46', 'B06XPKP2CV']",2,"['Mark Deakins', 'George K. Wilson']"
4614,Sad Wind from the Sea,Jack Higgins,2,"['B00769WCP4', '0008359032']",2,"['Christopher Lane', 'Jeff Harding']"
4615,Angel of Death,Jack Higgins,2,"['B003E1BSQM', 'B01I5PALAA']",2,"['Jonathan Oliver', 'Michael Page']"
4616,Safe,Ryan Gattis,2,"['B07457VPJB', 'B07229FS7V']",2,"['Christian Barillas', 'Christian Barrillas']"
4622,Angelica's Smile,Andrea Camilleri,2,"['B00KQRQ34O', 'B00WA7AHI6']",2,"['Daniel Philpott', 'Grover Gardner']"
4624,March Violets,Philip Kerr,2,"['B002VA9G70', 'B002V5CI8E']",2,"['John Lee', 'Jeff Harding']"
4626,Angels Flight,Michael Connelly,2,"['B00CRMUBEY', 'B002UZMV9G']",2,"['Burt Reynolds', 'Peter Giles']"
4637,Sandcastles,Luanne Rice,2,"['B002V0M1DQ', 'B002UZZ5R6']",2,"['Blair Brown', 'Ann Marie Lee']"
4638,Malice,John Gwynne,2,"['B00H2PF0U6', 'B00WA1Y5C6']",2,"['John Keating', 'Damian Lynch']"
4639,Sandy Koufax,Jane Leavy,2,"['B002V1M3QK', 'B002VA9UVM']",2,"['Robert Pinsky', 'Charley Steiner']"
4640,Antic Hay,Aldous Huxley,2,"['B002V0JT68', '160646616X']",2,"['Flo Gibson', 'Robert Whitfield']"
4642,Making Your Mind Up,Jill Mansell,2,"['B00V8DCH8Q', 'B01AMJRDOY']",2,"['Julia Franklin', 'Anna Parker-Naples']"
4645,Sarah's Key,Tatiana de Rosnay,2,"['B002V0AEQW', 'B007VDX0O2']",2,"['Laurence Bouvard', 'Polly Stone']"
4648,Sarum,Edward Rutherfurd,2,"['B005H3G2UM', 'B07RZ15W3X']",2,"['Wanda McCaddon', 'Roger Davis']"
4650,Tooth and Nail,Ian Rankin,2,"['B002V0QBJ6', 'B005M42408']",2,"['Samuel Gillies', 'James Macpherson']"
4651,Satan's Circus,Mike Dash,2,"['B002UZKUN0', 'B008J4AZ2M']",2,"['David Ackroyd', 'Robertson Dean']"
4653,Sanctus,Simon Toyne,2,"['B005K09RYA', 'B004W4VI4W']",2,"['Simon Vance', 'Jonathan Keeble']"
4657,Anne Frank: The Diary of a Young Girl,Anne Frank,2,"['B0191Y5ABE', 'B003IEQE1Y']",2,"['Susan Adams', 'Selma Blair']"
4658,Anne of the Island,Lucy Maud Montgomery,2,"['B072JYZGWH', 'B01B8NPQX8']",2,"['Alan Munro', 'Andrea Giordani']"
4659,Anne's House of Dreams,Lucy Maud Montgomery,2,"['B0731GV78P', 'B08454XKL4']",2,"['Karen Savage', 'Alice Marti']"
4663,Tough Cookie,Diane Mott Davidson,2,"['B009CZNQ1Y', 'B002V59RKQ']",2,"['Cherry Jones', 'Barbara Rosenblat']"
4664,Samaritan,Richard Price,2,"['B002UZMZEW', 'B002V1BMNA']",2,"['Michael Boatman', 'Richard Allen']"
4665,Another Day in the Death of America,Gary Younge,2,"['B07DY5LY7H', 'B01M0VB18X']",2,"['Curt Alderson', 'Mirron Willis']"
4668,Touch the Devil,Jack Higgins,2,"['B003N44ORU', '0008358818']",2,"['Peter Noble', 'Michael Page']"
4669,San Miguel,T. C. Boyle,2,"['B009ADFFF8', 'B009PCE7BW']",2,"['Barbara Caruso', 'Katherine Fenton']"
4670,Another One Goes Tonight,Peter Lovesey,2,"['B01GF0A1NO', 'B01I1VWZ20']",2,"['Simon Prebble', 'Peter Wickham']"
4678,The Killing Moon,Chuck Hogan,2,"['B002V5BSZS', 'B004XNN91M']",2,"['Henry Strozier', 'John Slattery']"
4680,Going Under,Justina Robson,2,"['B002V1LYP6', 'B00IYWFFYC']",2,"['Mel Hudson', 'Khristine Hvam']"
4681,The Commodore,Patrick O'Brian,2,"['B002UUMMJ0', 'B00T9VBVQI']",2,"['Ric Jerrom', 'Patrick Tull']"
4687,The Kills,Linda Fairstein,2,"['B002V0TFNU', 'B077H575XZ']",2,"['Blair Brown', 'Barbara Rosenblat']"
4690,The Killing School,"Brandon Webb, John David Mann",2,"['B072MHR8CW', 'B0711D2H14']",2,"['Haywood Morse', 'Lou Lambert']"
4692,The Killing Lessons,Saul Black,2,"['B013XCFFYC', 'B00SC61M7O']",2,"['Christina Delaine', 'Christine Delaine']"
4693,The Killer Inside Me,Jim Thompson,2,"['B005Z1W9R6', 'B017HUEKT2']",2,"['Kevin T. Collins', 'Tim Flavin']"
4694,The Killing Kind,John Connolly,2,"['B077H1ZZCC', 'B0083KC520']",2,"['Jeff Harding', 'Holter Graham']"
4695,The Killing Hour,Lisa Gardner,2,"['B002V5BUGK', 'B002V0JW60']",2,"['Anna Fields', 'Claudia Christian']"
4697,The Killing Ground,Jack Higgins,2,"['B002V5BF10', 'B01I5RIHCW']",2,"['Christopher Lane', 'Jonathan Oliver']"
4698,The Killing Doll,Ruth Rendell,2,"['B004FR7VHY', 'B00BR3NHDG']",2,"['Mary Kane', 'Ric Jerrom']"
4700,Gods and Beasts,Denise Mina,2,"['B00BJQ7052', 'B009ZHZTOG']",2,"['Moira Quirk', 'Cathleen McCarron']"
4703,Godless,Ann Coulter,2,"['B002V1ONL8', 'B002V01BTG']",2,"['Elizabeth White', 'Ann Coulter']"
4706,The Killer Within,Philip Carlo,2,"['B004HZRPNY', 'B00FY0HKIG']",2,"['Kate Bateman', 'Kent Bateman']"
4712,The Colors of Space,Marion Zimmer Bradley,2,"['B00IEL36BW', 'B073TV3W3T']",2,"['Harry Shaw', 'Arthur Vincet']"
4713,Downtown,Ed McBain,2,"['B004XM4ZP2', 'B002V0LQJG']",2,"['Richard Ferrone', 'David Regal']"
4715,The Knife of Never Letting Go,Patrick Ness,2,"['B004495C06', 'B004P78CKO']",2,"['Nick Podehl', 'Humphrey Bower']"
4718,Dr. Knox,Peter Spiegelman,2,"['B01HZWKOX8', 'B01HMYJ94E']",2,"['Jeff Harding', 'Keith Szarabajka']"
4728,The Kingmaker's Daughter,Philippa Gregory,2,"['B008TW52UE', 'B00VMM65F4']",2,"['Bianca Amato', 'Jane Collingwood']"
4732,The Commentaries,Julius Caesar,2,"['B002V0QDS0', 'B078X1NC8M']",2,"['David McCallion', 'Charlton Griffin']"
4735,The King's Mistress,Emma Campion,2,"['B003RCTPPY', 'B0043XAJD8']",2,"['Donada Peters', 'Nicolette McKenzie']"
4737,The King's Grave,"Philippa Langley, Michael Jones",2,"['B07B5H3RBK', 'B00G2J3FR8']",2,"['Corrie James', 'Emma Spurgin-Hussey']"
4739,The Killer Gun,Lauran Paine,2,"['B002V5D2XY', 'B012UCWCEM']",2,"['Jeff Harding', 'Thomas Penny']"
4748,The Judge's Wife,Ann O'Loughlin,2,"['B079J5SK38', 'B01NAZRRSA']",2,"['Alana Kerr Collins', 'Caroline Lennon']"
4749,The Judas Strain,James Rollins,2,"['B002V8MTMG', '1980031371']",2,"['Peter J. Fernandez', 'Peter Jay Fernandez']"
4750,The Judas Gate,Jack Higgins,2,"['B004GYJ4DU', 'B0041HVP4S']",2,"['Simon Vance', 'Jonathan Oliver']"
4758,The Journey,Billy Graham,2,"['B002V010QK', 'B002V0QQHI']",2,"['John H. Mayer', 'Reathel Bean']"
4760,The Coral Island,R. M. Ballantyne,2,"['B004AZFTMK', 'B0741QFB73']",2,"['Jim Hodges', 'Peter Joyce']"
4761,The Core,Peter V. Brett,2,"['B06Y6G8NZW', 'B074PBZZ8T']",2,"['Colin Mace', 'Pete Bradbury']"
4766,Globish,Robert McCrum,2,"['B005OSNMD0', 'B003OY23SG']",2,"['Simon Shepherd', 'James Langton']"
4767,The Jewish War,Flavius Josephus,2,"['B00A0XZII6', 'B078KDJ691']",2,"['Charlton Griffin', 'Alastair Cameron']"
4772,The Conspiracy Club,Jonathan Kellerman,2,"['B002UUL13S', 'B002UUKUIA']",2,"['Rob Kahn', 'David Birney']"
4774,Goddess of the Ice Realm,David Drake,2,"['B00F2QMH30', 'B002V0A7MS']",2,"['Paul Michael', 'Michael Page']"
4777,The Kill List,Frederick Forsyth,2,"['B00EKN6RY6', 'B00E9ANA4K']",2,"['John Chancer', 'George Guidall']"
4778,The Kill Artist,Daniel Silva,2,"['B0089CAZ6K', 'B002UZKZR6']",2,"['Jason Culp', 'George Guidall']"
4779,The Kill,Jane Casey,2,"['B00QKTU7MG', 'B00KRHD92C']",2,"['Caroline Lennon', 'Sarah Coomes']"
4781,The Complete Wizard of Oz Collection,L. Frank Baum,2,"['1982720301', 'B00FJJU7LY']",2,"['Pierre Moreau', 'Eric Vincent']"
4782,Drama City,George Pelecanos,2,"['B006CQBQFE', 'B002V5H0KA']",2,"['JD Jackson', 'Chad Coleman']"
4783,The Key,Simon Toyne,2,"['B0089EBSAU', 'B007RG8VMY']",2,"['Simon Vance', 'Jonathan Keeble']"
4785,The Kept Woman,Karin Slaughter,2,"['B01K071SFI', 'B01G5SJTZ2']",2,"['Jennifer Woodward', 'Kathleen Early']"
4786,God on the Rocks,Jane Gardam,2,"['B00DJ7GU64', 'B012X6H254']",2,"['Maggie Ollerenshaw', 'Carmela Corbett']"
4788,The Confessions,Jean-Jacques Rousseau,2,"['B007VCYII0', 'B071D467XP']",2,"['Frederick Davidson', 'David McCallion']"
4791,The Keeper,Luke Delaney,2,"['B00K8FADA4', 'B00EAXPL1G']",2,"['Steve West', 'Robin Bowerman']"
4793,The Confidential Agent,Graham Greene,2,"['B002V5GUE2', 'B003O997A8']",2,"['Tim Pigott-Smith', 'Patrick Tull']"
4796,The Kamikaze Hunters,Will Iredale,2,"['B01G61N69S', 'B01AAX21UI']",2,"['Jonathan Keebel', 'Jonathan Keeble']"
4797,Dream Psychology: Psychoanalysis for Beginners,Sigmund Freud,2,"['B00455QPNM', 'B07QM2ZMBT']",2,"['Jim Killavey', 'Joe Gomez']"
4798,The Jupiter Myth,Lindsey Davis,2,"['B01N9C3BHG', 'B002V5CLCC']",2,"['Christian Rodska', 'Simon Prebble']"
4800,The Consolations of Philosophy,Alain de Botton,2,"['B002V5BCSG', 'B00C5RJ6PQ']",2,"['Nicholas Bell', 'Simon Vance']"
4803,Gone,Mo Hayder,2,"['B00DJB1LO6', 'B003RVIYB6']",2,"['Andrew Wincott', 'Steven Crossley']"
4804,Gormenghast,Mervyn Peake,2,"['B0036N9OCS', 'B00KX903Y6']",2,"['Saul Reichlin', 'Robert Whitfield']"
4807,The Clan of the Cave Bear,Jean M. Auel,2,"['B00AET37YS', 'B002V1A68M']",2,"['Sandra Burr', 'Rowena Cooper']"
4808,The Last Days of Night,Graham Moore,2,"['B01JSJ6ZN4', 'B01LW3262A']",2,"['Jonathan McClain', 'Johnathan McClain']"
4816,The Last Confession of Thomas Hawkins,Antonia Hodgson,2,"['B00WKKGMPU', 'B01C9ATPTU']",2,"['John Lee', 'Joseph Kloska']"
4819,Downfall,Jeff Abbott,2,"['B00DLI1HXW', 'B00GNJK6O2']",2,"['Kevin T. Collins', 'Kevin T Collins']"
4821,The Last Child,John Hart,2,"['B002UZZ7UQ', 'B007HPKVK0']",2,"['John Chancer', 'Scott Sowers']"
4824,The Last Camel Died at Noon,Elizabeth Peters,2,"['B002V19ZMA', 'B002V0JTYA']",2,"['Barbara Rosenblat', ""Susan O'Malley""]"
4825,Don't You Forget About Me,Mhairi McFarlane,2,"['0008169349', '0062958488']",2,"['TBD', 'Madeline Gould']"
4826,The Clinic,Jonathan Kellerman,2,"['B002V1OLA6', 'B002V1BR1W']",2,"['John Rubinstein', 'Alexander Adams']"
4829,Goodnight Nobody,Jennifer Weiner,2,"['B004WL4G6C', 'B002UZKI14']",2,"['Johanna Parker', 'Emily Skinner']"
4832,The Closers,Michael Connelly,2,"['B00SXDWOM8', 'B0032N8SZG']",2,"['David Soul', 'Len Cariou']"
4836,The Last Detective,Peter Lovesey,2,"['B0046IWT9M', 'B01AIK1MLC']",2,"['Simon Prebble', 'Michael Tudor Barnes']"
4839,Don Juan,Lord Byron,2,"['B01BX294FU', 'B002V1NQDY']",2,"['Frederick Davidson', 'Jonathan Keeble']"
4844,The Last Girls,Lee Smith,2,"['B002V1M5QS', 'B002VA3O78']",2,"['Linda Stephens', 'Lee Smith']"
4846,The Last Girl,Jane Casey,2,"['B00CRKQZ3M', 'B008CQJGGS']",2,"['Caroline Lennon', 'Sarah Coomes']"
4848,The Last Full Measure,Jeff Shaara,2,"['B004UBIUAC', '0593295269']",2,"['Stephen Lang', 'Mark Bramhall']"
4849,The Last Four Things,Paul Hoffman,2,"['B0057QL7FO', 'B005FH2E16']",2,"['Sean Barrett', 'Steve West']"
4852,The City of Falling Angels,John Berendt,2,"['B002V59XGE', 'B002V9ZBCK']",2,"['John Berendt', 'Holter Graham']"
4853,The City of God,Saint Augustine,2,"['B07BBRQLDV', 'B002V8H6SS']",2,"['David McCallion', 'Bernard Mayes']"
4855,Grace and Power,Sally Bedell Smith,2,"['B002UP1GYM', 'B002UZKJN6']",2,"['Anne Twomey', 'Lee Adams']"
4856,The Last Englishmen,Deborah Baker,2,"['1684413915', 'B07HNM29YK']",2,"['James Cameron Stewart', 'Cameron James Stewart']"
4857,Don't Know Much About the Civil War,Kenneth C. Davis,2,"['B004Y1IMCY', 'B002V5D3VK']",2,"['Dick Estell', 'Kenneth C. Davis']"
4860,Don't Let Go,Harlan Coben,2,"['B074TRQCCR', 'B0714F465X']",2,"['Steven Weber', 'John Chancer']"
4861,The Last Dragonslayer,Jasper Fforde,2,"['B004SICEBI', 'B00BEMK7FG']",2,"['Elizabeth Jasicki', 'Jane Collingwood']"
4866,The Last American Man,Elizabeth Gilbert,2,"['B002ZJCYRG', 'B07BN5XFSQ']",2,"['Patricia Kalember', 'Katherine Fenton']"
4867,Double Vision,Pat Barker,2,"['B002UUKRFQ', 'B002V19UMU']",2,"['Johanna Ward', 'Robert Glenister']"
4868,The Lady of the Rivers,Philippa Gregory,2,"['B005S32XWW', 'B01BLT0XUA']",2,"['Bianca Amato', 'Tracy-Ann Oberman']"
4869,The Cold Six Thousand,James Ellroy,2,"['B002VAEMJ2', 'B014M0LQ56']",2,"['Jeff Harding', 'Craig Wasson']"
4870,The Cold War,Odd Arne Westad,2,"['B0756L6N7Y', 'B07B3J3KD5']",2,"['Julian Elfer', 'Jonathan Keeble']"
4871,The Lady of Sorrows,Anne Zouroudi,2,"['B00JEEABM0', 'B006K2QKMO']",2,"['Sean Barrett', 'Gildart Jackson']"
4873,The Lady of Misrule,Suzannah Dunn,2,"['B019S89C2G', 'B00WNGUNCE']",2,"['Penelope Rawlins', 'Charlotte Anne Dore']"
4877,The Lady Elizabeth,Alison Weir,2,"['B002VAEI1E', 'B0032N8K7C']",2,"['Emma Fielding', 'Rosalyn Landor']"
4880,The Collector of Lost Things,Jeremy Page,2,"['B00H2657T4', 'B00CAVOWZ6']",2,"['Tom Lawrence', 'Michael Healy']"
4884,Down and Out in Paris and London,George Orwell,2,"['B0036GPL2W', 'B002V8LMG0']",2,"['Frederick Davidson', 'Jeremy Northam']"
4885,The Labyrinth Index,Charles Stross,2,"['1501999737', 'B07D5HHHM4']",2,"['Bianca Amato', 'Laurence Bouvard']"
4886,Gone for Soldiers,Jeff Shaara,2,"['B002UZHQ6Y', 'B002UUG0HA']",2,"['George Hearn', 'Jonathan Davis']"
4887,Gone for Good,Harlan Coben,2,"['B002V5A07K', 'B002VA9AJY']",2,"['Dylan Baker', 'Jonathan Marosz']"
4890,The Color Purple,Alice Walker,2,"['B07LCV3R2F', 'B086MHFDMB']",2,"['Samira Wiley', 'Alice Walker']"
4892,The Color of Law,Mark Gimenez,2,"['B002V8N1LE', 'B002V0Q46Q']",2,"['Brian Keith Llewis', 'Stephen Hoye']"
4893,The Korean War,Max Hastings,2,"['B00KRFZGMK', 'B002V0Q6EG']",2,"['Frederick Davidson', 'Cameron Stewart']"
4894,The Color of Night,David Lindsey,2,"['B0195ONWTW', 'B002V5A3JK']",2,"['Paul Hecht', 'Stanley Tucci']"
4901,Good to Great in God's Eyes,Chip Ingram,2,"['B00XBNTTDM', 'B06XX2LBDR']",2,"['George W. Sarris', 'Chip Ingram']"
4904,Good in Bed,Jennifer Weiner,2,"['B007MP3FYY', 'B002UZDRGW']",2,"['Laura Hicks', 'Paula Cale']"
4909,The Coalwood Way,Homer Hickam,2,"['B0077RPR34', 'B002V0REI8']",2,"['David Lansbury', 'Frank Muller']"
4910,The Cobra,Frederick Forsyth,2,"['B003YHT3FE', 'B003XFW7OQ']",2,"['John Chancer', 'Jonathan Davis']"
4913,Double Cross,Ben Macintyre,2,"['B008J4B1PM', 'B008OZRS76']",2,"['John Lee', 'Michael Tudor Barnes']"
4914,Double Cross Blind,Joel N. Ross,2,"['B002UZMOLQ', 'B002VA389C']",2,"['Simon Vance', 'Holter Graham']"
4918,The Code of the Woosters,P. G. Wodehouse,2,"['B002V0QSGM', 'B002V0KRGO']",2,"['Jonathan Cecil', 'Nicolas Coster']"
4921,Double Fault,Lionel Shriver,2,"['B002V01B2I', 'B072LWMP1C']",2,"['Renée Raudman', 'Jennifer Woodward']"
4922,The Coffee Trader,David Liss,2,"['B002V0TN82', 'B002UZL53O']",2,"['John Lee', 'Graeme Malcolm']"
4923,Good Me Bad Me,Ali Land,2,"['B073JYXPWQ', 'B01N0D94IO']",2,"['Imogen Church', 'Hannah Murray']"
4924,The Laments,George Hagen,2,"['B002VA8PL8', 'B002V1PL78']",2,"['Clare Higgins', 'Richard Matthews']"
4925,The Coffin Dancer,Jeffery Deaver,2,"['B00UZ8D716', 'B002V0Q2N6']",2,"['Jeff Harding', 'Joe Mantegna']"
4926,The Jewel That Was Ours,Colin Dexter,2,"['B009434ZYQ', 'B075LZXPG4']",2,"['Frederick Davidson', 'Samuel West']"
4927,The Jewel,Amy Ewing,2,"['B00LMJ8CDA', 'B00SNTTKHO']",2,"['Laura Kirman', 'Erin Spencer']"
4928,The Corrections,Jonathan Franzen,2,"['B004HIK4E8', 'B002V0RK0K']",2,"['Dylan Baker', 'George Guidall']"
4930,The Cutting Edge,Jeffery Deaver,2,"['B07BKMRR3D', 'B079TYL949']",2,"['Jeff Harding', 'Edoardo Ballerini']"
4933,The Cutting Season,Attica Locke,2,"['B0098OODR0', 'B009L7PTYA']",2,"['Lachele Carl', 'Quincy Tyler Bernstine']"
4937,The Imposter Bride,Nancy Richler,2,"['B00DVLCNO6', 'B00AKGRB5G']",2,"['Tavia Gilbert', 'Cathy Laskey']"
4938,Easy Prey,John Sandford,2,"['B00A6G0TR2', 'B002V8HJLW']",2,"['Richard Ferrone', 'Eric Conger']"
4943,Getting Rid of Matthew,Jane Fallon,2,"['B002V0QXJE', 'B0032NANS6']",2,"['Fenella Woolgar', 'Rosalyn Landor']"
4944,The Inheritance,Simon Tolkien,2,"['B003E8AHPI', 'B00KZ1ZFBS']",2,"['Simon Tolkien', 'Leighton Pugh']"
4945,The Damned,Andrew Pyper,2,"['B00SNSE4RQ', 'B00U1UIXXA']",2,"['Corey Brill', 'Adam Sims']"
4946,The Immortal Game,David Shenk,2,"['B002V59YUO', 'B002V0TMOW']",2,"['John H. Mayer', 'Rick Adamson']"
4948,Echo Burning,Lee Child,2,"['B0160FSUW8', 'B00BM7FR7G']",2,"['Jeff Harding', 'Dick Hill']"
4950,The Dance of the Seagull,Andrea Camilleri,2,"['B009PRF4AA', 'B00HRH87PY']",2,"['Daniel Philpott', 'Grover Gardner']"
4952,The Imitation of Christ,Thomas A. Kempis,2,"['B002V5GYCA', 'B075FXV15K']",2,"['David Cochran Heath', 'Alastair Cameron']"
4959,East of the Sun,Julia Gregson,2,"['B0036NA4B8', 'B0032N2GTA']",2,"['Tania Rodrigues', 'Sian Thomas']"
4962,The Information Officer,Mark Mills,2,"['B0036K2T5A', 'B0036KOETO']",2,"['Robin Sachs', 'Peter Joyce']"
4969,The Curious Charms of Arthur Pepper,Phaedra Patrick,2,"['B01BFJRR3W', 'B01D0H8MWW']",2,"['James Langton', 'Peter Joyce']"
4978,The Indian War of 1864,Eugene Fitch Ware,2,"['B07R7XPTLY', 'B07TMNS9MW']",2,"['Calvin Kessler', 'Adam Kordecki']"
4981,Earthly Remains,Donna Leon,2,"['B06XNQ7G9W', 'B06ZYXLBM3']",2,"['David Rintoul', 'David Colacci']"
4983,Ghost Hunter,Michelle Paver,2,"['B003NTSWUU', 'B0032N4P6C']",2,"['Ian McKellan', 'Ian McKellen']"
4984,The Independence of Miss Mary Bennet,Colleen McCullough,2,"['B002UZJZZE', 'B002V0AFU2']",2,"['Jen Taylor', 'Nicki Paull']"
4986,Ghost Girl,Lesley Thomson,2,"['B01LXC2YZI', 'B00JQEIZ9E']",2,"['Paul Ansdell', 'Annie Aldington']"
